Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM_ma4q,333146.10354162427,342538.98881909257,173993.3188792262,0.6712225328797065
MedianPriceSqM_lag1,87919.97044092053,90789.04635332941,45503.661589636875,0.1771410940206006
MedianPriceSqM_lag4,46315.78024093341,49478.679612094646,24280.423549316118,0.09331700114491939
MedianPriceSqM_growth_qoq,13392.95052968242,8701.298650806895,14561.032078579563,0.026984107218119835
TimeTrend,5718.742143126967,5827.943283673835,465.362078610135,0.011522117609627104
AvgBuildingAge,3227.0645681482597,3310.266154649721,1902.1652625243812,0.006501887400667722
TransactionCount,2608.3766488380084,1842.0484955860425,2611.2777640530685,0.0052553554201139815
ActiveMeshes,1530.4595890501853,1216.0416205051615,1176.893394246266,0.0030835688933817857
AvgArea,1148.266852532762,932.3633835746778,830.4960198789687,0.002313527239205876
Q_4,447.73638044477923,282.13525343097035,286.82956577860944,0.0009020989414243214
Q_3,326.8673989220745,251.79514203364033,162.99992743779418,0.0006585722032701599
MedianPriceSqM_std4q,269.0855791400133,230.18193085243,216.00271340662923,0.0005421534337987408
Ward_encoded,205.45220729631563,201.92016566830353,129.47818340309828,0.0004139449613881777
Q_2,68.77725201916357,43.668096520115796,39.52807055581867,0.00013857235853590257
MedianPriceSqM_growth_yoy,1.7204072172446871,1.1665430190469124,1.902721582451539,3.4662752398039836e-06
