ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,WardLat,WardLon,Feature,FeatureValue,SHAPValue
0,TorchLSTM,Ward,val,434313.71875,407311.49911880493,27002.21963119507,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM,-0.6324334740638733,0.07227197251631878
0,TorchLSTM,Ward,val,434313.71875,407311.49911880493,27002.21963119507,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_lag1,-0.6428910493850708,0.0018080747686326504
0,TorchLSTM,Ward,val,434313.71875,407311.49911880493,27002.21963119507,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_ma4q,-0.6472641229629517,0.07332408975344151
0,TorchLSTM,Ward,val,434313.71875,407311.49911880493,27002.21963119507,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_growth_qoq,-0.02985796332359314,-0.0001689939233529003
0,TorchLSTM,Ward,val,434313.71875,407311.49911880493,27002.21963119507,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,TransactionCount,1.1350767612457275,0.005379342212108895
0,TorchLSTM,Ward,val,434313.71875,407311.49911880493,27002.21963119507,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,AvgBuildingAge,0.44271543622016907,0.00017680198652669787
0,TorchLSTM,Ward,val,434313.71875,407311.49911880493,27002.21963119507,2020-Q1,Adachi Ward,35.776974410659406,139.7979998588562,ActiveMeshes,1.6681203842163086,-0.0019144187535857782
1,TorchLSTM,Ward,val,435294.125,420927.4649620056,14366.660037994385,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM,-0.6090296506881714,0.07718363014282659
1,TorchLSTM,Ward,val,435294.125,420927.4649620056,14366.660037994385,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_lag1,-0.6227397322654724,0.001768564572557807
1,TorchLSTM,Ward,val,435294.125,420927.4649620056,14366.660037994385,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_ma4q,-0.6288759708404541,0.07657836156431586
1,TorchLSTM,Ward,val,435294.125,420927.4649620056,14366.660037994385,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_growth_qoq,-0.028312362730503082,0.0004280558605387341
1,TorchLSTM,Ward,val,435294.125,420927.4649620056,14366.660037994385,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,TransactionCount,1.2282865047454834,0.010137452540220693
1,TorchLSTM,Ward,val,435294.125,420927.4649620056,14366.660037994385,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,AvgBuildingAge,0.3479941785335541,-0.000477401652460685
1,TorchLSTM,Ward,val,435294.125,420927.4649620056,14366.660037994385,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,ActiveMeshes,1.6681203842163086,-0.0016652785416226834
2,TorchLSTM,Ward,val,446153.84375,418464.1242027283,27689.71954727173,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM,-0.5875892639160156,0.08096616034163162
2,TorchLSTM,Ward,val,446153.84375,418464.1242027283,27689.71954727173,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_lag1,-0.5992170572280884,0.0030397415393963456
2,TorchLSTM,Ward,val,446153.84375,418464.1242027283,27689.71954727173,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_ma4q,-0.6093171834945679,0.07966721605043858
2,TorchLSTM,Ward,val,446153.84375,418464.1242027283,27689.71954727173,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_growth_qoq,-0.029688924551010132,1.725392576190643e-05
2,TorchLSTM,Ward,val,446153.84375,418464.1242027283,27689.71954727173,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,TransactionCount,1.1852667331695557,0.0038204593874979764
2,TorchLSTM,Ward,val,446153.84375,418464.1242027283,27689.71954727173,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,AvgBuildingAge,0.15077321231365204,-0.002744072514360596
2,TorchLSTM,Ward,val,446153.84375,418464.1242027283,27689.71954727173,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,ActiveMeshes,1.6681203842163086,-0.0011414073524065316
3,TorchLSTM,Ward,val,466666.65625,436069.42892074585,30597.22732925415,2020-Q4,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM,-0.5621378421783447,0.08509591303300112
3,TorchLSTM,Ward,val,466666.65625,436069.42892074585,30597.22732925415,2020-Q4,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_lag1,-0.5776679515838623,0.003117538755759597
3,TorchLSTM,Ward,val,466666.65625,436069.42892074585,30597.22732925415,2020-Q4,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_ma4q,-0.5864425301551819,0.08343500923365355
3,TorchLSTM,Ward,val,466666.65625,436069.42892074585,30597.22732925415,2020-Q4,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_growth_qoq,-0.027349697425961494,0.00011065105900343042
3,TorchLSTM,Ward,val,466666.65625,436069.42892074585,30597.22732925415,2020-Q4,Adachi Ward,35.776974410659406,139.7979998588562,TransactionCount,1.2808665037155151,0.012842926138546318
3,TorchLSTM,Ward,val,466666.65625,436069.42892074585,30597.22732925415,2020-Q4,Adachi Ward,35.776974410659406,139.7979998588562,AvgBuildingAge,0.10328447818756104,-0.0031427060780515603
