ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,WardLat,WardLon,Feature,FeatureValue,SHAPValue
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_lag1,186666.66666666666,-97748.60634135363
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_lag4,181818.18181818182,-24640.884153487885
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_growth_qoq,-12.337662337662325,-24752.073976904725
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_growth_yoy,-9.999999999999998,-7925.25356777092
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_ma4q,170563.8111888112,-268218.901374446
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_std4q,14647.605918500725,-573.942420758369
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,TransactionCount,188.0,-39.349968310779204
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,AvgBuildingAge,20.361538461538462,-335.32300491140074
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,AvgArea,255.5,381.2955229668171
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,ActiveMeshes,20.0,187.78557310212545
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,TimeTrend,58.0,-1693.6441667498896
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,Ward_encoded,1.0,316.25167849878716
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,Q_2,1.0,175.58722108805978
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,Q_3,0.0,135.59851010954907
0,LightGBM,Ward,val,163636.36363636365,155363.600277725,8272.763358638651,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,Q_4,0.0,230.75060542091674
1,LightGBM,Ward,val,709401.7094017095,714188.0738801901,-4786.364478480653,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,MedianPriceSqM_lag1,683333.3333333334,39184.8638864776
1,LightGBM,Ward,val,709401.7094017095,714188.0738801901,-4786.364478480653,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,MedianPriceSqM_lag4,700000.0,9540.621336243135
1,LightGBM,Ward,val,709401.7094017095,714188.0738801901,-4786.364478480653,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,MedianPriceSqM_growth_qoq,3.814884302689192,11067.053719671818
1,LightGBM,Ward,val,709401.7094017095,714188.0738801901,-4786.364478480653,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,MedianPriceSqM_growth_yoy,1.3431013431013605,-2300.488955689756
1,LightGBM,Ward,val,709401.7094017095,714188.0738801901,-4786.364478480653,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,MedianPriceSqM_ma4q,699320.1243201244,78461.81861886871
1,LightGBM,Ward,val,709401.7094017095,714188.0738801901,-4786.364478480653,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,MedianPriceSqM_std4q,11328.167705864575,-1915.9856918803887
1,LightGBM,Ward,val,709401.7094017095,714188.0738801901,-4786.364478480653,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,TransactionCount,226.0,-84.12824317945447
1,LightGBM,Ward,val,709401.7094017095,714188.0738801901,-4786.364478480653,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,AvgBuildingAge,16.15340909090909,548.7400801993331
1,LightGBM,Ward,val,709401.7094017095,714188.0738801901,-4786.364478480653,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,AvgArea,74.26991150442478,-177.78733548758098
1,LightGBM,Ward,val,709401.7094017095,714188.0738801901,-4786.364478480653,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,ActiveMeshes,14.0,-155.9875453867047
1,LightGBM,Ward,val,709401.7094017095,714188.0738801901,-4786.364478480653,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,TimeTrend,62.0,55.42804380170024
1,LightGBM,Ward,val,709401.7094017095,714188.0738801901,-4786.364478480653,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,Ward_encoded,10.0,-40.76637111245694
1,LightGBM,Ward,val,709401.7094017095,714188.0738801901,-4786.364478480653,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,Q_2,0.0,37.59629430015335
