Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM_ma4q,0.20421056200866589,0.139526640297845,0.15750922218730312,0.4750003816605137
MedianPriceSqM,0.19663422134531175,0.1361533614981454,0.14922456735947978,0.4573775678780877
ActiveMeshes,0.01095509872374123,0.01133971616945928,0.006751190272698835,0.025481914469658373
TransactionCount,0.008419484318229564,0.007809930646544672,0.005524757806043672,0.019583993233288494
MedianPriceSqM_lag1,0.0071240797917198504,0.004733634530566633,0.005099647105407834,0.016570840346168195
AvgBuildingAge,0.001986852763293001,0.0017333472834479835,0.00145995399210972,0.0046214838820500025
MedianPriceSqM_growth_qoq,0.000586328262649305,0.000379506587250944,0.000621353485834321,0.0013638185302332557
