Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
mesh_median_ppsqm,0.12512109381545314,0.11837387623381801,0.07708802893958447,0.5420829829669808
mesh_median_ppsqm_lag1,0.04694475901612748,0.043375757726607844,0.02894528167198776,0.20338660913293172
mesh_median_ppsqm_ma4q,0.04136017919590643,0.03770356469613034,0.024259284159525486,0.17919160255771951
mesh_median_ppsqm_growth_qoq,0.010761252658938646,0.0062983451123841405,0.01882040707520979,0.04662276970198886
mesh_avg_age,0.00402666377512233,0.0029525289083949247,0.003717658800522585,0.017445387057140722
mesh_transaction_count,0.0014873616851776462,0.0011274696626060177,0.0014187556741699697,0.006443945097227999
mesh_avg_area,0.001114077435869758,0.0006799794059588748,0.005828409278037465,0.004826703486010413
