ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,Mesh250m,WardLat,WardLon,MeshLat,MeshLon,Feature,FeatureValue,SHAPValue
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,mesh_median_ppsqm_lag1,850000.0,-29241.749253518225
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,mesh_median_ppsqm_lag4,787500.0,30441.374049004615
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,mesh_median_ppsqm_growth_qoq,-12.73432449903038,-43043.19068137689
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,mesh_median_ppsqm_growth_yoy,-5.80847723704866,-6227.976088755411
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,mesh_median_ppsqm_ma4q,717939.5604395604,100748.78338626663
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,mesh_median_ppsqm_std4q,114083.78255850723,790.6790816946705
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,mesh_transaction_count,18.0,267.13434341919856
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,mesh_avg_age,10.727272727272728,1431.2622020348608
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,mesh_avg_area,64.16666666666667,-1582.9369123650285
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,TimeTrend,60.0,2576.2035769317044
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,Ward_encoded,15.0,-449.57943547176546
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,WardHedonicIndex,133.50383585340225,31.25909855977443
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,WardHedonicIndex_missing,1.0,0.0
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,MeshHedonicIndex,101.56399728191612,-2591.8128851098227
0,LinearRegression,Mesh,val,741758.2417582418,658983.753646417,82774.48811182473,2020-Q3,Nakano Ward,53394562,35.70723118168273,139.66561675071716,35.719670833771175,139.65331077575684,MeshHedonicIndex_missing,1.0,0.0
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,mesh_median_ppsqm_lag1,111515.15151515152,66968.40160706588
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,mesh_median_ppsqm_lag4,166758.24175824175,-75295.39104272595
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,mesh_median_ppsqm_growth_qoq,42.767431071049835,114097.58998000056
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,mesh_median_ppsqm_growth_yoy,-4.5280668622172175,-4849.152785423719
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,mesh_median_ppsqm_ma4q,119724.26794073136,-537996.6589369714
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,mesh_median_ppsqm_std4q,26580.956429936483,19663.23027623116
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,mesh_transaction_count,44.0,14158.120201210679
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,mesh_avg_age,16.607142857142858,144.6280589130555
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,mesh_avg_area,199.6590909090909,-469.5274561975845
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,TimeTrend,56.0,2274.7169090636735
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,Ward_encoded,1.0,2794.8082431907487
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,WardHedonicIndex,93.09262715823544,-51.31018281850197
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,WardHedonicIndex_missing,1.0,0.0
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,MeshHedonicIndex,73.58498406993169,-3930.864927359394
1,LinearRegression,Mesh,val,159207.31707317074,203342.893109283,-44135.57603611227,2020-Q1,"Aoba Ward, Sendai City",57403639,38.27341290226016,140.86901664733887,38.28173417327346,140.86925268173218,MeshHedonicIndex_missing,1.0,0.0
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,mesh_median_ppsqm_lag1,1000000.0,-48783.819288803104
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,mesh_median_ppsqm_lag4,1175000.0,96447.88308281092
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,mesh_median_ppsqm_growth_qoq,24.0,60961.81545860528
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,mesh_median_ppsqm_growth_yoy,5.531914893617018,5984.043780843014
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,mesh_median_ppsqm_ma4q,1091031.746031746,499118.6279918198
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,mesh_median_ppsqm_std4q,107082.64033880515,2300.6807674389966
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,mesh_transaction_count,13.0,-2404.2090907717684
