Model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,Level
LinearRegression,15289.386683749837,21997.566437705867,0.9942414803721622,14414.898507127758,19777.22235528227,0.9970153113371405,18594.707646533232,29651.119045021995,0.9953575118734405,Ward
RandomForest,3940.5269735233205,6097.334658297745,0.999557572982378,14886.734119648152,26010.62226343449,0.9948373827576298,44302.31595363825,112688.61215302693,0.9329453831538871,Ward
LightGBM,1117.026318426503,1858.7302501911315,0.9999588855666236,15949.871879973607,29862.142838662876,0.9931952781097776,48038.70338773811,116652.76617759658,0.9281447163597119,Ward
LinearRegression,77446.26749054347,279824.61422272125,0.7388970027828123,69520.28089006193,167607.46641060594,0.8669390650359472,83895.80282181302,197137.44473221668,0.8758039766542195,Mesh
RandomForest,3371.363496325986,41510.67481804253,0.994254079447188,12173.665276436368,97227.69202865555,0.9552241538565661,22619.608385458178,123618.01195295005,0.9511648018576868,Mesh
LightGBM,10116.333115698479,60679.047767223456,0.987722285130206,18893.206314098963,106566.5901573293,0.9462094496476221,27702.106193784093,126969.28720179133,0.948481073231442,Mesh
TorchLSTM,28357.028201997935,38902.56665900117,0.9820027707171524,27391.029252869743,35238.79003160568,0.9905243193471498,39235.43438538614,57978.22983743581,0.9822499929789041,Ward
TorchLSTM,76137.44079974272,379614.1697251769,0.5159928480826751,72278.8247125762,230944.74901308498,0.7403026564493576,101500.2587867832,319514.43392678536,0.6746688200121225,Mesh
