Model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,Level
LinearRegression,15289.386683749837,21997.566437705867,0.9942414803721622,14414.898507127758,19777.22235528227,0.9970153113371405,18594.707646533232,29651.119045021995,0.9953575118734405,Ward
RandomForest,3940.526973523317,6097.334658297743,0.999557572982378,14886.734119648152,26010.622263434503,0.9948373827576298,44302.31595363825,112688.61215302693,0.9329453831538871,Ward
LightGBM,1117.026318426503,1858.7302501911315,0.9999588855666236,15949.871879973607,29862.142838662876,0.9931952781097776,48038.70338773811,116652.76617759658,0.9281447163597119,Ward
LinearRegression,77446.26749054347,279824.61422272125,0.7388970027828123,69520.28089006193,167607.46641060594,0.8669390650359472,83895.80282181302,197137.44473221668,0.8758039766542195,Mesh
RandomForest,3371.363496325986,41510.67481804253,0.994254079447188,12173.665276436372,97227.69202865555,0.9552241538565661,22619.60838545819,123618.01195295007,0.9511648018576868,Mesh
LightGBM,10116.333115698479,60679.047767223456,0.987722285130206,18893.206314098963,106566.5901573293,0.9462094496476221,27702.106193784093,126969.28720179133,0.948481073231442,Mesh
TorchLSTM,28209.776772167355,39531.97358586631,0.9814157032532104,29643.67531781537,42098.55544765,0.9864760726932977,41983.35582250815,75088.46715596803,0.9702275137291871,Ward
TorchLSTM,74059.9790485762,362872.59523582447,0.5577424141162128,72843.31093098028,224816.91075829478,0.7539013254991316,106212.80079417619,329165.62745037995,0.6547182045639204,Mesh
