Model,Level,train_mae,train_rmse,train_r2,test_mae,test_r2,test_rmse,val_mae,val_r2,val_rmse
LinearRegression,Ward,15289.386683749835,21997.566437705867,0.9942414803721622,18594.707646533232,0.9953575118734403,29651.119045021995,14414.898507127758,0.9970153113371404,19777.22235528227
RandomForest,Ward,3940.526973523317,6097.334658297741,0.999557572982378,44302.31595363827,0.9329453831538872,112688.61215302696,14886.734119648156,0.9948373827576298,26010.6222634345
LightGBM,Ward,1117.026318426503,1858.7302501911315,0.9999588855666236,48038.70338773811,0.928144716359712,116652.76617759658,15949.871879973609,0.9931952781097776,29862.14283866288
LinearRegression,Mesh,77446.26749054347,279824.61422272125,0.7388970027828123,83895.80282181302,0.8758039766542195,197137.44473221668,69520.28089006193,0.8669390650359472,167607.46641060594
RandomForest,Mesh,3371.363496325985,41510.67481804253,0.994254079447188,22619.608385458178,0.9511648018576868,123618.01195295008,12173.665276436372,0.955224153856566,97227.69202865555
LightGBM,Mesh,10116.33311569848,60679.047767223456,0.987722285130206,27702.106193784093,0.948481073231442,126969.28720179132,18893.206314098963,0.946209449647622,106566.5901573293
TorchLSTM,Ward,29479.401223610334,39378.02524131002,0.9815601661098996,43982.323630778345,0.9685188580925306,77213.08868362689,28018.37695853625,0.9880691490722792,39541.34973049489
TorchLSTM,Mesh,73332.19928726571,364622.377012741,0.5534669739309114,101183.90910006834,0.6582877312832109,327459.7483422926,72272.34020810058,0.7143266776572638,242219.54351557491
