Model,test_mae_Ward,test_mae_Mesh,test_mae_Delta,test_r2_Ward,test_r2_Mesh,test_r2_Delta,test_rmse_Ward,test_rmse_Mesh,test_rmse_Delta
LinearRegression,18594.707646533232,83895.80282181302,65301.095175279785,0.9953575118734403,0.8758039766542195,-0.11955353521922085,29651.119045021995,197137.44473221668,167486.32568719468
RandomForest,44302.31595363827,22619.608385458178,-21682.70756818009,0.9329453831538872,0.9511648018576868,0.018219418703799617,112688.61215302696,123618.01195295008,10929.399799923121
LightGBM,48038.70338773811,27702.106193784093,-20336.597193954018,0.928144716359712,0.948481073231442,0.020336356871730077,116652.76617759658,126969.28720179132,10316.521024194735
TorchLSTM,43982.323630778345,101183.90910006834,57201.585469289996,0.9685188580925306,0.6582877312832109,-0.31023112680931964,77213.08868362689,327459.7483422926,250246.6596586657
