Level,Model,Fraction,TrainRows,ValRows,TestRows,TrainTimeSeconds,InferTimeSeconds,Test_MAE,Test_RMSE,Test_R2
Ward,LinearRegression,0.25,377,224,364,0.0017511000041849911,0.0010396999714430422,104324.1750869374,109368.62605381217,0.9368382524653049
Ward,RandomForest,0.25,377,224,364,0.41091920001781546,0.05341510000289418,88364.87125214364,170693.7336472249,0.8461477752229829
Ward,LightGBM,0.25,377,224,364,0.22375319999991916,0.0035555999784264714,106526.75918436775,192860.6051728079,0.8035935820167128
Ward,LinearRegression,0.5,754,224,364,0.0026445000257808715,0.0011592000082600862,24371.23568887797,36727.77437905002,0.9928770835779773
Ward,RandomForest,0.5,754,224,364,0.603054900013376,0.04469529999187216,87943.97602020149,171270.12986548667,0.845106968802516
Ward,LightGBM,0.5,754,224,364,0.22117879998404533,0.0046999999904073775,111881.72381075034,206757.25342787808,0.7742695572226934
Ward,LinearRegression,0.75,1131,224,364,0.0026914999762084335,0.0015631999995093793,19297.534083187187,30073.808049437106,0.995224207252727
Ward,RandomForest,0.75,1131,224,364,0.7511716999870259,0.04303309999522753,77972.03235959685,167893.54769905732,0.8511541820377204
Ward,LightGBM,0.75,1131,224,364,0.34350029999041,0.00458410001010634,76599.96668861566,169086.5582030801,0.8490313425637213
Ward,LinearRegression,1.0,1507,224,364,0.0025883000052999705,0.0015532999823335558,18594.707646537223,29651.11904502503,0.9953575118734395
Ward,RandomForest,1.0,1507,224,364,0.9437869000248611,0.043727300013415515,44763.050221420366,113297.97556861876,0.9322182270295387
Ward,LightGBM,1.0,1507,224,364,0.23191999999107793,0.004317999992053956,48038.70338773811,116652.76617759658,0.9281447163597119
